  4   90100  1AC    24       SSMANIFO                                                  -94.76940277  26.95505833
  4    1545  1BA   504              B  7793N  4851E       3169984.81           206047  -95.36218865  28.34995996
  4   10598  1BA   507              A  5994N  7895E       3119420.81           207846    -95.519145    28.359137
  4   10525  1BA   515              1  6785S  4282W       2989037.81           204785    -95.924624    28.360772
  4   10492  1BA   517              1  1550N  5750W       2958825.81           212290     -96.01793    28.383558
  4   10002  1BA   538        A-VALVE  7283N  8358E       3087277.81           190717    -95.620576    28.314639
  4     793  1BA   541              A  2422N  2901E       3140254.81           195578  -95.45555645  28.32369042
  4   10001  1BA   541              A  3517S  5554E       3137601.81           185677    -95.464728    28.296692
  4   10544  1BA   542              A  7837N  3438W       3146593.81           190163    -95.436377    28.308274
  4   28006  1BA   544              A  2896S  3629W       3099264.81           169216     -95.58529    28.254571
  4      74  1BA   544              B  3734S 10112W       3105747.81           170054  -95.56508722  28.25635349
  4   10446  1BA   550              A   991S  5272W       3005867.81           167311    -95.875428    28.256515
  4   28007  1BA   552              A   863N  6359W       2975274.81           181297    -95.969292    28.297182
  4   10472  1BA   572              A  4940S  4450W       2989205.81           155420    -95.928132    28.225036
  4    1706  1BA   578              1  3462N  7654W       3087449.81           162858  -95.62254193  28.23803611
  4   10201  2BA   578              A  1400S  6700E       3088935.81           151880    -95.618914    28.207738
  4   10201  1BA   578              B  1300S  6600E       3089035.81           151780    -95.618613    28.207455
  4   10483  1BA   583              A  5300N  4200W       2988955.81           145180    -95.929743    28.196901
  4   10055  1BA A   1              A  6529S  1974E       3188701.81           204529    -95.304179    28.344173
  4   10513  1BA A   2              A  1797N  3655E       3171180.81           196203    -95.359425    28.322796
  4    1660  1BA A   2              B  5240N  7294E       3167541.81           192760  -95.37106126  28.31364232
  4   10189  1BA A   7              A  6474S  6988W       3134303.81           172794    -95.476177     28.26155
  4     146  1BA A   7              B  3492N  3003W       3130318.81           178668  -95.48800153  28.27802758
  4   10244  1BA A  16              A  8491S  1922W       3145077.81           143131    -95.445527    28.179108
  4   10131  1BA A  17              A  2092S  8033W       3135348.81           136732    -95.476307    28.162327
  4    1322  1BA A  17              B  7027N  5686W       3133001.81           143453  -95.48295969  28.18099747
  4   10146  1BA A  19              B  7500S  3600W       3099235.81           142140    -95.587834    28.180139
  4   10146  2BA A  19              C  7662S  3974W       3099609.81           142302  -95.58665893  28.18055398
  4    1057  1BA A  19        CAIS.#1  3300S  3240E       3108235.81           137940  -95.56029614  28.16786743
