Name,Latitude,Longitude,Latitude_DMS,Longitude_DMS,Type
100 Square,39.5435 N,72.42658 W,"39° 32' 36.6"" N","72° 25' 35.69"" W",Reef
BA Wreck,40.32808 N,73.79775 W,"40° 19' 41.09"" N","73° 47' 51.9"" W",Wreck
BA Wreck,40.3271 N,73.79826 W,"40° 19' 37.56"" N","73° 47' 53.74"" W",Wreck
Bacardi,39.878 N,72.65076 W,"39° 52' 40.8"" N","72° 39' 2.74"" W",Structure
Coal Wreck,40.43569 N,73.59581 W,"40° 26' 8.48"" N","73° 35' 44.92"" W",Wreck
1 Car 1 GPS Concrete,30.20517 N,87.24667 W,"30° 12' 18.61"" N","87° 14' 48.01"" W",Structure
1 Mile Reef,27.48432 N,82.73532 W,"27° 29' 3.55"" N","82° 44' 7.15"" W",Reef
1 Mile Reef,27.49166 N,82.73333 W,"27° 29' 29.98"" N","82° 43' 59.99"" W",Reef
"1 Mile Reef, Site 05",27.48858 N,82.73583 W,"27° 29' 18.89"" N","82° 44' 8.99"" W",Reef
"1, 000 FM",38.80942 N,72.73733 W,"38° 48' 33.91"" N","72° 44' 14.39"" W",Structure
"1, 000 Mermaids Hollywood",25.98819 N,80.09437 W,"25° 59' 17.48"" N","80° 5' 39.73"" W",Structure
10 Box Cars AR,34.05445 N,77.66028 W,"34° 3' 16.02"" N","77° 39' 37.01"" W",Structure
10 Car Bodies,30.20867 N,87.23405 W,"30° 12' 31.21"" N","87° 14' 2.58"" W",Structure
10 Car Bodies GPS,30.18267 N,87.244 W,"30° 10' 57.61"" N","87° 14' 38.4"" W",Structure
10 Car Bodies GPS,30.19933 N,87.24717 W,"30° 11' 57.59"" N","87° 14' 49.81"" W",Structure
10 Car Bodies GPS,30.20283 N,87.2355 W,"30° 12' 10.19"" N","87° 14' 7.8"" W",Structure
10 Cars,30.20627 N,87.271 W,"30° 12' 22.57"" N","87° 16' 15.6"" W",Structure
10 Cars Scrap Steel,30.20382 N,87.24138 W,"30° 12' 13.75"" N","87° 14' 28.97"" W",Structure
10 Fathom Ledge,34.325 N,76.55 W,"34° 19' 30.0"" N","76° 33' 0.0"" W",Ledge
10 Fathom Ledge North,35.13907 N,75.34227 W,"35° 8' 20.65"" N","75° 20' 32.17"" W",Ledge
10 Fathom Reef,28.92213 N,80.50215 W,"28° 55' 19.67"" N","80° 30' 7.74"" W",Reef
10 Foot Ledge,33.7308 N,77.80833 W,"33° 43' 50.88"" N","77° 48' 29.99"" W",Ledge
10 Foot Ledge,27.61447 N,83.02597 W,"27° 36' 52.09"" N","83° 1' 33.49"" W",Ledge
10 Grouper Mutton Pinks Wreck,30.28937 N,80.32456 W,"30° 17' 21.73"" N","80° 19' 28.42"" W",Wreck
10 JUL Reef,26.07033 N,80.10937 W,"26° 4' 13.19"" N","80° 6' 33.73"" W",Reef
10 Ledge,33.77158 N,77.00253 W,"33° 46' 17.69"" N","77° 0' 9.11"" W",Ledge
10 Ledge,34.06533 N,77.00833 W,"34° 3' 55.19"" N","77° 0' 29.99"" W",Ledge
10 Ledge,28.28512 N,82.97002 W,"28° 17' 6.43"" N","82° 58' 12.07"" W",Ledge
10 Ledge,27.75532 N,83.15075 W,"27° 45' 19.15"" N","83° 9' 2.7"" W",Ledge
10 Ledge,27.62917 N,83.01992 W,"27° 37' 45.01"" N","83° 1' 11.71"" W",Ledge
10 Ledge 6,24.44274 N,81.95901 W,"24° 26' 33.86"" N","81° 57' 32.44"" W",Ledge
10 Mile Rocks,34.08397 N,77.6366 W,"34° 5' 2.29"" N","77° 38' 11.76"" W",Rock
10 Pound Ledge,42.59758 N,70.67033 W,"42° 35' 51.29"" N","70° 40' 13.19"" W",Ledge
10 Train Cars,34.25948 N,77.50363 W,"34° 15' 34.13"" N","77° 30' 13.07"" W",Structure
10 Train Cars,34.35093 N,77.32942 W,"34° 21' 3.35"" N","77° 19' 45.91"" W",Structure
100 Degree Rock,34.42415 N,76.49325 W,"34° 25' 26.94"" N","76° 29' 35.7"" W",Rock
100 Fathom Ledge,34.21482 N,76.07982 W,"34° 12' 53.35"" N","76° 4' 47.35"" W",Ledge
100 Fathom Slab Rock,36.19756 N,74.75623 W,"36° 11' 51.22"" N","74° 45' 22.43"" W",Rock
100 Flat Steel Barge,30.09599 N,87.57136 W,"30° 5' 45.56"" N","87° 34' 16.9"" W",Reef
100 FM,39.04987 N,72.7636 W,"39° 2' 59.53"" N","72° 45' 48.96"" W",Structure
1001 Mississippi Canyon,28.65767 N,89.15467 W,"28° 39' 27.61"" N","89° 9' 16.81"" W",Canyon
100 Foot Ship And USN Intruder Plane Wrecks,29.35345 N,80.35812 W,"29° 21' 12.42"" N","80° 21' 29.23"" W",Structure
100 Ydledge,30.31733 N,80.38983 W,"30° 19' 2.39"" N","80° 23' 23.39"" W",Ledge
1021 Mississippi Canyon,28.78783 N,89.05383 W,"28° 47' 16.19"" N","89° 3' 13.79"" W",Canyon
1035 Mississippi Canyon,28.8575 N,88.919 W,"28° 51' 27.0"" N","88° 55' 8.4"" W",Canyon
107 Wreck,24.50882 N,81.82851 W,"24° 30' 31.75"" N","81° 49' 42.64"" W",Wreck
116 Hole,30.13883 N,87.18317 W,"30° 8' 19.79"" N","87° 10' 59.41"" W",Hole
116 Hole,30.16127 N,87.17013 W,"30° 9' 40.57"" N","87° 10' 12.47"" W",Hole
12 Fathom Rock,33.91667 N,77.55 W,"33° 55' 0.01"" N","77° 33' 0.0"" W",Rock
12 Foot Ledge,30.35924 N,80.30102 W,"30° 21' 33.26"" N","80° 18' 3.67"" W",Ledge
12 Mile Rock,33.98118 N,77.67448 W,"33° 58' 52.25"" N","77° 40' 28.13"" W",Rock
12 Mile Rock,34.0351 N,77.63182 W,"34° 2' 6.36"" N","77° 37' 54.55"" W",Rock
12 Mile Rock,34.03633 N,77.63817 W,"34° 2' 10.79"" N","77° 38' 17.41"" W",Rock
12 Mile Rock,34.03875 N,77.62539 W,"34° 2' 19.5"" N","77° 37' 31.4"" W",Rock
12 Mile Rock,34.04276 N,77.62948 W,"34° 2' 33.94"" N","77° 37' 46.13"" W",Rock
12 Wreck,40.48787 N,73.82066 W,"40° 29' 16.33"" N","73° 49' 14.38"" W",Wreck
120 Degree Rock,34.43655 N,76.44153 W,"34° 26' 11.58"" N","76° 26' 29.51"" W",Rock
120 Wreck,40.07187 N,73.8795 W,"40° 4' 18.73"" N","73° 52' 46.2"" W",Wreck
12 A Wreck,27.33333 N,80.06667 W,"27° 19' 59.99"" N","80° 4' 0.01"" W",Wreck
13 Fathom Hole,28.51557 N,83.54397 W,"28° 30' 56.05"" N","83° 32' 38.29"" W",Hole
13 South County,27.09654 N,80.03121 W,"27° 5' 47.54"" N","80° 1' 52.36"" W",Structure
131 Hole,29.66833 N,87.135 W,"29° 40' 5.99"" N","87° 8' 6.0"" W",Hole
131 Hole,29.806 N,87.09893 W,"29° 48' 21.6"" N","87° 5' 56.15"" W",Hole
136 Hole,30.24257 N,87.14243 W,"30° 14' 33.25"" N","87° 8' 32.75"" W",Hole
14 Fathom Hole,40.91399 N,72.1123 W,"40° 54' 50.36"" N","72° 6' 44.28"" W",Hole
14 South County,27.09639 N,80.03596 W,"27° 5' 47.0"" N","80° 2' 9.46"" W",Structure
15 Foot Ledge,33.74302 N,77.30932 W,"33° 44' 34.87"" N","77° 18' 33.55"" W",Ledge
15 Foot Ledge,33.76732 N,77.46267 W,"33° 46' 2.35"" N","77° 27' 45.61"" W",Ledge
15 Foot Ledge,33.77587 N,77.51419 W,"33° 46' 33.13"" N","77° 30' 51.08"" W",Ledge
15 Foot Peak Before Ledge,30.19783 N,80.25958 W,"30° 11' 52.19"" N","80° 15' 34.49"" W",Ledge
15 Mile Rock,34.57396 N,76.40398 W,"34° 34' 26.26"" N","76° 24' 14.33"" W",Rock
15 South County,27.09801 N,80.03113 W,"27° 5' 52.84"" N","80° 1' 52.07"" W",Structure
151 Ledges,33.83351 N,77.64233 W,"33° 50' 0.64"" N","77° 38' 32.39"" W",Ledge
151 Ledges,33.84313 N,77.67788 W,"33° 50' 35.27"" N","77° 40' 40.37"" W",Ledge
151 Ledges,33.89093 N,77.66225 W,"33° 53' 27.35"" N","77° 39' 44.1"" W",Ledge
151 Ledges,33.95193 N,77.70835 W,"33° 57' 6.95"" N","77° 42' 30.06"" W",Ledge
16 Fathom Rock,33.89999 N,77.09167 W,"33° 53' 59.96"" N","77° 5' 30.01"" W",Rock
16 Mile Rock,34.22193 N,77.5834 W,"34° 13' 18.95"" N","77° 35' 0.24"" W",Rock
16 South County,27.09804 N,80.03586 W,"27° 5' 52.94"" N","80° 2' 9.1"" W",Structure
17 Fathoms,40.3842 N,73.81018 W,"40° 23' 3.12"" N","73° 48' 36.65"" W",Structure
17 Hole,30.11667 N,87.24433 W,"30° 7' 0.01"" N","87° 14' 39.59"" W",Hole
1700 4 Rock,34.5695 N,76.33167 W,"34° 34' 10.2"" N","76° 19' 54.01"" W",Rock
1700 Rock,34.54266 N,76.34316 W,"34° 32' 33.58"" N","76° 20' 35.38"" W",Rock
1700 Rock,34.54862 N,76.3358 W,"34° 32' 55.03"" N","76° 20' 8.88"" W",Rock
1700 Rock,34.55537 N,76.33342 W,"34° 33' 19.33"" N","76° 20' 0.31"" W",Rock
1700 Rocks,34.58849 N,76.38833 W,"34° 35' 18.56"" N","76° 23' 17.99"" W",Rock
18 Boat Wreck,30.20077 N,87.35328 W,"30° 12' 2.77"" N","87° 21' 11.81"" W",Wreck
18 Mile Rock,34.03675 N,77.48072 W,"34° 2' 12.3"" N","77° 28' 50.59"" W",Rock
18 Mile Rock,34.04106 N,77.47822 W,"34° 2' 27.82"" N","77° 28' 41.59"" W",Rock
18 Mile Rock,34.05374 N,77.45866 W,"34° 3' 13.46"" N","77° 27' 31.18"" W",Rock
18 Mile Rock,34.06955 N,77.49847 W,"34° 4' 10.38"" N","77° 29' 54.49"" W",Rock
18 Mile Rock,34.0924 N,77.43202 W,"34° 5' 32.64"" N","77° 25' 55.27"" W",Rock
18 Mile Rock,34.10941 N,77.45957 W,"34° 6' 33.88"" N","77° 27' 34.45"" W",Rock
18 Mile Rock,34.21945 N,77.4586 W,"34° 13' 10.02"" N","77° 27' 30.96"" W",Rock
18 Mile Bridge,29.73963 N,85.69757 W,"29° 44' 22.67"" N","85° 41' 51.25"" W",Structure
18 Mile Rocks,34.06653 N,77.49683 W,"34° 3' 59.51"" N","77° 29' 48.59"" W",Rock
18 S Reef,30.17365 N,86.52198 W,"30° 10' 25.14"" N","86° 31' 19.13"" W",Reef
18 S Reef,30.19995 N,86.53784 W,"30° 11' 59.82"" N","86° 32' 16.22"" W",Reef
18 S Reef,30.20738 N,86.52955 W,"30° 12' 26.57"" N","86° 31' 46.38"" W",Reef
18 S Reef,30.215 N,86.58167 W,"30° 12' 54.0"" N","86° 34' 54.01"" W",Reef
19 Fathom Hole,30.24597 N,80.98963 W,"30° 14' 45.49"" N","80° 59' 22.67"" W",Hole
19 Foot Hole,30.51792 N,81.03518 W,"30° 31' 4.51"" N","81° 2' 6.65"" W",Hole
19 Mile Rock,33.84757 N,77.57588 W,"33° 50' 51.25"" N","77° 34' 33.17"" W",Rock
195 Degree Rock,34.44998 N,76.70637 W,"34° 26' 59.93"" N","76° 42' 22.93"" W",Rock
195 Rock,34.44588 N,76.69873 W,"34° 26' 45.17"" N","76° 41' 55.43"" W",Rock
195 Rock,34.48081 N,76.74396 W,"34° 28' 50.92"" N","76° 44' 38.26"" W",Rock
195 Rocks,34.45247 N,76.70899 W,"34° 27' 8.89"" N","76° 42' 32.36"" W",Rock
1 Southeast Shoal Ledges,28.42333 N,80.47 W,"28° 25' 23.99"" N","80° 28' 12.0"" W",Ledge
1 Western Dry Rocks,24.435 N,81.89167 W,"24° 26' 6.0"" N","81° 53' 30.01"" W",Rock
2 Cars Look 100 YD South,30.19457 N,87.22708 W,"30° 11' 40.45"" N","87° 13' 37.49"" W",Structure
2 Holes,30.12977 N,80.33498 W,"30° 7' 47.17"" N","80° 20' 5.93"" W",Hole
2 Mile Rock,34.15416 N,77.77333 W,"34° 9' 14.98"" N","77° 46' 23.99"" W",Rock
20 Foot Hole,26.87298 N,82.12892 W,"26° 52' 22.73"" N","82° 7' 44.11"" W",Hole
20 Mile Rock B,34.31551 N,76.57964 W,"34° 18' 55.84"" N","76° 34' 46.7"" W",Rock
20 Mile Rock C,34.31232 N,76.5993 W,"34° 18' 44.35"" N","76° 35' 57.48"" W",Rock
200 200 Ledge,34.1065 N,77.3595 W,"34° 6' 23.4"" N","77° 21' 34.2"" W",Ledge
200 Foot Ledge,25.71171 N,79.36276 W,"25° 42' 42.16"" N","79° 21' 45.94"" W",Ledge
200200 Ledge,34.12847 N,77.37316 W,"34° 7' 42.49"" N","77° 22' 23.38"" W",Ledge
2009,29.73639 N,85.47181 W,"29° 44' 11.0"" N","85° 28' 18.52"" W",Structure
2009,29.77604 N,85.59778 W,"29° 46' 33.74"" N","85° 35' 52.01"" W",Structure
2009,29.77116 N,85.70256 W,"29° 46' 16.18"" N","85° 42' 9.22"" W",Structure
2009,29.779 N,85.69347 W,"29° 46' 44.4"" N","85° 41' 36.49"" W",Structure
2009,29.74192 N,85.71198 W,"29° 44' 30.91"" N","85° 42' 43.13"" W",Structure
2009,29.73386 N,85.71148 W,"29° 44' 1.9"" N","85° 42' 41.33"" W",Structure
2009,29.72493 N,85.67478 W,"29° 43' 29.75"" N","85° 40' 29.21"" W",Structure
2011 Barge Wreck Concrete Pile,29.05082 N,80.71483 W,"29° 3' 2.95"" N","80° 42' 53.39"" W",Reef
2011 Reef,27.53787 N,80.17948 W,"27° 32' 16.33"" N","80° 10' 46.13"" W",Reef
2011 Reef,27.5272 N,80.17285 W,"27° 31' 37.92"" N","80° 10' 22.26"" W",Reef
2013 Reef,27.39252 N,80.04935 W,"27° 23' 33.07"" N","80° 2' 57.66"" W",Reef
2013 Reef,27.53472 N,80.19055 W,"27° 32' 4.99"" N","80° 11' 25.98"" W",Reef
2017 East Patch,26.36742 N,82.28535 W,"26° 22' 2.71"" N","82° 17' 7.26"" W",Structure
2017 West Patch,26.36738 N,82.29107 W,"26° 22' 2.57"" N","82° 17' 27.85"" W",Structure
2018 Kerry Dillon Site,27.197 N,80.09232 W,"27° 11' 49.2"" N","80° 5' 32.35"" W",Structure
2018 Kerry Dillon Site,27.19793 N,80.09788 W,"27° 11' 52.55"" N","80° 5' 52.37"" W",Structure
2018 Miramar/Frangista,30.3285 N,86.38383 W,"30° 19' 42.6"" N","86° 23' 1.79"" W",Reef
2021 Reef Darts,26.77038 N,79.9664 W,"26° 46' 13.37"" N","79° 57' 59.04"" W",Reef
2022 Reef Darts,26.77485 N,79.9664 W,"26° 46' 29.46"" N","79° 57' 59.04"" W",Reef
2023 Pbff Reef,26.77213 N,79.96353 W,"26° 46' 19.67"" N","79° 57' 48.71"" W",Reef
2024 FWC Patch Reef,29.6356 N,83.90572 W,"29° 38' 8.16"" N","83° 54' 20.59"" W",Reef
2024 UMA Deployment,30.31257 N,86.1589 W,"30° 18' 45.25"" N","86° 9' 32.04"" W",Structure
20 Fthole,26.87184 N,82.12895 W,"26° 52' 18.62"" N","82° 7' 44.22"" W",Hole
21 Concrete Reef Modules,30.09837 N,87.12755 W,"30° 5' 54.13"" N","87° 7' 39.18"" W",Reef
21 Fathom Hole,39.79633 N,73.608 W,"39° 47' 46.79"" N","73° 36' 28.8"" W",Hole
21 Fathom Wreck,28.5045 N,80.18183 W,"28° 30' 16.2"" N","80° 10' 54.59"" W",Wreck
21 Foot Ledge,42.27863 N,70.70988 W,"42° 16' 43.07"" N","70° 42' 35.57"" W",Ledge
21 Hole,30.03167 N,87.22 W,"30° 1' 54.01"" N","87° 13' 12.0"" W",Hole
21 Hole,30.03233 N,87.21578 W,"30° 1' 56.39"" N","87° 12' 56.81"" W",Hole
21 Hole,30.0367 N,87.2145 W,"30° 2' 12.12"" N","87° 12' 52.2"" W",Hole
21 Hole,30.0408 N,87.18395 W,"30° 2' 26.88"" N","87° 11' 2.22"" W",Hole
21 Hole Airplane,30.0242 N,87.23437 W,"30° 1' 27.12"" N","87° 14' 3.73"" W",Structure
21 Hole Area,30.03313 N,87.22348 W,"30° 1' 59.27"" N","87° 13' 24.53"" W",Reef
21 Hole South,29.98167 N,87.20667 W,"29° 58' 54.01"" N","87° 12' 24.01"" W",Hole
21 Wreck 1,26.34384 N,81.9017 W,"26° 20' 37.82"" N","81° 54' 6.12"" W",Wreck
210 Degree Rock,34.2357 N,76.58945 W,"34° 14' 8.52"" N","76° 35' 22.02"" W",Rock
210 Ledge,34.242 N,76.592 W,"34° 14' 31.2"" N","76° 35' 31.2"" W",Ledge
210 Reef,34.23817 N,76.59134 W,"34° 14' 17.41"" N","76° 35' 28.82"" W",Reef
210 Reef,34.24708 N,76.58862 W,"34° 14' 49.49"" N","76° 35' 19.03"" W",Reef
210 Rock,34.249 N,76.59083 W,"34° 14' 56.4"" N","76° 35' 26.99"" W",Rock
210 Rocks,35.03555 N,75.32382 W,"35° 2' 7.98"" N","75° 19' 25.75"" W",Rock
217 Fathom Hump,24.82309 N,79.92963 W,"24° 49' 23.12"" N","79° 55' 46.67"" W",Hump
22 Mile Rock,34.14588 N,77.35672 W,"34° 8' 45.17"" N","77° 21' 24.19"" W",Rock
225 Boxcar,35.1146 N,75.65891 W,"35° 6' 52.56"" N","75° 39' 32.08"" W",Structure
228 Fathom Hole,34.6617 N,75.55733 W,"34° 39' 42.12"" N","75° 33' 26.39"" W",Hole
230 Fathom Ledge,34.71127 N,75.49567 W,"34° 42' 40.57"" N","75° 29' 44.41"" W",Ledge
230 Rocks,35.04591 N,75.27078 W,"35° 2' 45.28"" N","75° 16' 14.81"" W",Rock
24 Foot Ledge,33.76837 N,77.4772 W,"33° 46' 6.13"" N","77° 28' 37.92"" W",Ledge
24 Foot Ledge,33.77233 N,77.4797 W,"33° 46' 20.39"" N","77° 28' 46.92"" W",Ledge
24 Foot Ledge,33.78465 N,77.51158 W,"33° 47' 4.74"" N","77° 30' 41.69"" W",Ledge
240 Degree Rocks,34.28003 N,76.63193 W,"34° 16' 48.11"" N","76° 37' 54.95"" W",Rock
240 Rock,34.26948 N,76.63583 W,"34° 16' 10.13"" N","76° 38' 8.99"" W",Rock
240 Rock,34.27233 N,76.638 W,"34° 16' 20.39"" N","76° 38' 16.8"" W",Rock
240 Rock,34.27835 N,76.62707 W,"34° 16' 42.06"" N","76° 37' 37.45"" W",Rock
240 Rock,34.28283 N,76.63417 W,"34° 16' 58.19"" N","76° 38' 3.01"" W",Rock
240 Rocks,35.0604 N,75.2493 W,"35° 3' 37.44"" N","75° 14' 57.48"" W",Rock
2400 Canaveral Canyons,28.775 N,79.65417 W,"28° 46' 30.0"" N","79° 39' 15.01"" W",Canyon
250 Rocks,35.06964 N,75.22423 W,"35° 4' 10.7"" N","75° 13' 27.23"" W",Rock
26 1 Rock,34.29033 N,76.37066 W,"34° 17' 25.19"" N","76° 22' 14.38"" W",Rock
26 Rock,34.40496 N,76.9755 W,"34° 24' 17.86"" N","76° 58' 31.8"" W",Rock
26 Rock,34.44844 N,77.03649 W,"34° 26' 54.38"" N","77° 2' 11.36"" W",Rock
260 Rocks,35.0834 N,75.20895 W,"35° 5' 0.24"" N","75° 12' 32.22"" W",Rock
27 Fathom Hole,39.08218 N,73.76397 W,"39° 4' 55.85"" N","73° 45' 50.29"" W",Hole
270 Ledge NE,35.11708 N,75.24116 W,"35° 7' 1.49"" N","75° 14' 28.18"" W",Ledge
270 Ledge SW,35.1116 N,75.2497 W,"35° 6' 41.76"" N","75° 14' 58.92"" W",Ledge
279 Ledge,29.99418 N,80.60983 W,"29° 59' 39.05"" N","80° 36' 35.39"" W",Ledge
27 Fathom Reef,28.72917 N,80.14167 W,"28° 43' 45.01"" N","80° 8' 30.01"" W",Reef
280 Ledge,35.10098 N,75.17788 W,"35° 6' 3.53"" N","75° 10' 40.37"" W",Ledge
280 Rocks,35.10333 N,75.18416 W,"35° 6' 11.99"" N","75° 11' 2.98"" W",Rock
285 Manhole,34.55629 N,76.43672 W,"34° 33' 22.64"" N","76° 26' 12.19"" W",Hole
285 Manhole,34.55887 N,76.43667 W,"34° 33' 31.93"" N","76° 26' 12.01"" W",Hole
290 Ledge,35.12007 N,75.19539 W,"35° 7' 12.25"" N","75° 11' 43.4"" W",Ledge
295 Rocks,35.11549 N,75.15502 W,"35° 6' 55.76"" N","75° 9' 18.07"" W",Rock
2950 Mississippi Canyon,28.16992 N,89.22463 W,"28° 10' 11.71"" N","89° 13' 28.67"" W",Canyon
2 GH Howland Ledge,42.0762 N,70.6128 W,"42° 4' 34.32"" N","70° 36' 46.08"" W",Ledge
3 Cars 1 GPS,30.20317 N,87.24017 W,"30° 12' 11.41"" N","87° 14' 24.61"" W",Structure
3 Cars 2 GPS,30.18383 N,87.2325 W,"30° 11' 1.79"" N","87° 13' 57.0"" W",Structure
3 Cars 3 GPS,30.1955 N,87.25 W,"30° 11' 43.8"" N","87° 15' 0.0"" W",Structure
3 Foot Rock,30.25594 N,80.55099 W,"30° 15' 21.38"" N","80° 33' 3.56"" W",Rock
3 Ledge,34.025 N,76.87501 W,"34° 1' 30.0"" N","76° 52' 30.04"" W",Ledge
3 Ledge,27.53308 N,82.92492 W,"27° 31' 59.09"" N","82° 55' 29.71"" W",Ledge
3 Ledge,27.6124 N,83.02353 W,"27° 36' 44.64"" N","83° 1' 24.71"" W",Ledge
3 Mile Bridge Reef,30.19312 N,87.20447 W,"30° 11' 35.23"" N","87° 12' 16.09"" W",Reef
3 Mile Bridge Reef,30.19368 N,87.18508 W,"30° 11' 37.25"" N","87° 11' 6.29"" W",Reef
3 Mile Bridge Reef,30.19033 N,87.18548 W,"30° 11' 25.19"" N","87° 11' 7.73"" W",Reef
3 Mile Bridge Reef,30.19175 N,87.1781 W,"30° 11' 30.3"" N","87° 10' 41.16"" W",Reef
3 Mile Ledge,30.075 N,86.676 W,"30° 4' 30.0"" N","86° 40' 33.6"" W",Ledge
3 Mile Ledge,40.85529 N,72.26919 W,"40° 51' 19.04"" N","72° 16' 9.08"" W",Ledge
3 Mile North Bridge Reef,27.4984 N,82.78243 W,"27° 29' 54.24"" N","82° 46' 56.75"" W",Reef
3 Mile Reef North,27.49283 N,82.78333 W,"27° 29' 34.19"" N","82° 46' 59.99"" W",Reef
3 Mile Reef South,27.44588 N,82.74641 W,"27° 26' 45.17"" N","82° 44' 47.08"" W",Reef
"3 Mile South Reef, Site D 01",27.44324 N,82.74751 W,"27° 26' 35.66"" N","82° 44' 51.04"" W",Reef
"3 Mile South Reef, Site D 01",27.43922 N,82.7466 W,"27° 26' 21.19"" N","82° 44' 47.76"" W",Reef
3 Quarters Rock,41.20894 N,72.66567 W,"41° 12' 32.18"" N","72° 39' 56.41"" W",Reef
3 Reef,27.88334 N,83.58334 W,"27° 53' 0.02"" N","83° 35' 0.02"" W",Reef
3 VW Wrecks,30.02737 N,87.1595 W,"30° 1' 38.53"" N","87° 9' 34.2"" W",Wreck
3 Mile Bridge,30.28958 N,87.22625 W,"30° 17' 22.49"" N","87° 13' 34.5"" W",Structure
3 Mile Bridge,30.29583 N,87.225 W,"30° 17' 44.99"" N","87° 13' 30.0"" W",Structure
3 Mile Bridge Pilings,30.29433 N,87.22475 W,"30° 17' 39.59"" N","87° 13' 29.1"" W",Structure
3 Mile Reef North,27.50134 N,82.7837 W,"27° 30' 4.82"" N","82° 47' 1.32"" W",Reef
3. 5 Fathom Ledge,42.35358 N,70.84477 W,"42° 21' 12.89"" N","70° 50' 41.17"" W",Ledge
3. 5 Fathom Rock,42.35423 N,70.83827 W,"42° 21' 15.23"" N","70° 50' 17.77"" W",Rock
30 30 Reef,33.81694 N,77.69283 W,"33° 49' 0.98"" N","77° 41' 34.19"" W",Reef
30 Fathom Hole,37.56283 N,74.74933 W,"37° 33' 46.19"" N","74° 44' 57.59"" W",Hole
30 Foot Ledge,28.57228 N,84.27375 W,"28° 34' 20.21"" N","84° 16' 25.5"" W",Ledge
30 Foot Shoal And Ledge,28.57038 N,80.3218 W,"28° 34' 13.37"" N","80° 19' 18.48"" W",Ledge
30 MIN 2 Rock,34.53452 N,76.40049 W,"34° 32' 4.27"" N","76° 24' 1.76"" W",Rock
30 MIN Rock,34.54483 N,76.4015 W,"34° 32' 41.39"" N","76° 24' 5.4"" W",Rock
300 Rocks,35.1344 N,75.17745 W,"35° 8' 3.84"" N","75° 10' 38.82"" W",Rock
306 Hole,30.18118 N,87.13967 W,"30° 10' 52.25"" N","87° 8' 22.81"" W",Hole
31 Hole West Of N 16,37.1272 N,76.0714 W,"37° 7' 37.92"" N","76° 4' 17.04"" W",Hole
32. 5 Edge Hole,29.91 N,87.21333 W,"29° 54' 36.0"" N","87° 12' 47.99"" W",Hole
33 Fathom Wreck,27.16743 N,83.84403 W,"27° 10' 2.75"" N","83° 50' 38.51"" W",Wreck
330 Boxcar,34.55916 N,76.85611 W,"34° 33' 32.98"" N","76° 51' 22.0"" W",Structure
331 Bridge,30.10328 N,85.80235 W,"30° 6' 11.81"" N","85° 48' 8.46"" W",Structure
340 Boxcar,34.57138 N,76.97249 W,"34° 34' 16.97"" N","76° 58' 20.96"" W",Structure
345 Boxcar,34.53718 N,76.97527 W,"34° 32' 13.85"" N","76° 58' 30.97"" W",Structure
345 Bxcar,34.53813 N,76.97186 W,"34° 32' 17.27"" N","76° 58' 18.7"" W",Structure
35 Fathom Tip,39.6739 N,72.92748 W,"39° 40' 26.04"" N","72° 55' 38.93"" W",Structure
350 Rocks,35.20322 N,75.1026 W,"35° 12' 11.59"" N","75° 6' 9.36"" W",Rock
355 Boxcar,34.35416 N,77.33305 W,"34° 21' 14.98"" N","77° 19' 58.98"" W",Structure
355 Boxcar,34.35471 N,77.33166 W,"34° 21' 16.96"" N","77° 19' 53.98"" W",Structure
355 Boxcar,34.35526 N,77.33305 W,"34° 21' 18.94"" N","77° 19' 58.98"" W",Structure
362 Boxcar,34.25982 N,77.50788 W,"34° 15' 35.35"" N","77° 30' 28.37"" W",Structure
362 Boxcar,34.26078 N,77.50721 W,"34° 15' 38.81"" N","77° 30' 25.96"" W",Structure
366 Boxcar,34.21387 N,77.42124 W,"34° 12' 49.93"" N","77° 25' 16.46"" W",Structure
366 Boxcar,34.21496 N,77.42216 W,"34° 12' 53.86"" N","77° 25' 19.78"" W",Structure
368 Boxcar,34.1567 N,77.43191 W,"34° 9' 24.12"" N","77° 25' 54.88"" W",Structure
368 Bxcar,34.15971 N,77.43222 W,"34° 9' 34.96"" N","77° 25' 55.99"" W",Structure
372 Boxcar,34.10172 N,77.74678 W,"34° 6' 6.19"" N","77° 44' 48.41"" W",Structure
372 Boxcar,34.104 N,77.74699 W,"34° 6' 14.4"" N","77° 44' 49.16"" W",Structure
376 Boxcar,34.05254 N,77.6601 W,"34° 3' 9.14"" N","77° 39' 36.36"" W",Structure
376 Boxcar,34.05295 N,77.66235 W,"34° 3' 10.62"" N","77° 39' 44.46"" W",Structure
376 Boxcar,34.05353 N,77.65963 W,"34° 3' 12.71"" N","77° 39' 34.67"" W",Structure
376 Boxcar,34.05556 N,77.65815 W,"34° 3' 20.02"" N","77° 39' 29.34"" W",Structure
38 Wreck,27.07237 N,82.60311 W,"27° 4' 20.53"" N","82° 36' 11.2"" W",Wreck
386 Boxcar,33.95498 N,77.55381 W,"33° 57' 17.93"" N","77° 33' 13.72"" W",Structure
386 Boxcar,33.95545 N,77.55602 W,"33° 57' 19.62"" N","77° 33' 21.67"" W",Structure
386 Boxcar,33.95621 N,77.55385 W,"33° 57' 22.36"" N","77° 33' 13.86"" W",Structure
