Name,Latitude,Longitude,Latitude_DMS,Longitude_DMS,Type
Delray Dredge Hole,26.4375 N,80.05388 W,"26° 26' 15.0"" N","80° 3' 13.97"" W",Hole
Delray Dredge Hole,26.4475 N,80.05195 W,"26° 26' 51.0"" N","80° 3' 7.02"" W",Hole
Delray Hump,26.43843 N,79.7929 W,"26° 26' 18.35"" N","79° 47' 34.44"" W",Hump
Delray Ledge,26.44228 N,80.04714 W,"26° 26' 32.21"" N","80° 2' 49.7"" W",Ledge
Delray Snapper Hole,26.46507 N,80.04428 W,"26° 27' 54.25"" N","80° 2' 39.41"" W",Hole
Dema Trader,25.70363 N,80.08691 W,"25° 42' 13.07"" N","80° 5' 12.88"" W",Structure
DEP Flap,30.08522 N,86.35653 W,"30° 5' 6.79"" N","86° 21' 23.51"" W",Structure
DEP Flap,30.08648 N,86.35553 W,"30° 5' 11.33"" N","86° 21' 19.91"" W",Structure
DEP Flap NO Name Reef,30.056 N,86.30503 W,"30° 3' 21.6"" N","86° 18' 18.11"" W",Reef
DEP Flap NO Name Reef,30.09667 N,86.38834 W,"30° 5' 48.01"" N","86° 23' 18.02"" W",Reef
DEP Flap NO Name Reef,30.06488 N,86.3264 W,"30° 3' 53.57"" N","86° 19' 35.04"" W",Reef
DEP Flap Reef EX,30.14918 N,86.40302 W,"30° 8' 57.05"" N","86° 24' 10.87"" W",Reef
DEP Flap Reefex,30.14317 N,86.38675 W,"30° 8' 35.41"" N","86° 23' 12.3"" W",Reef
DEP Flap Reefex,30.13865 N,86.37407 W,"30° 8' 19.14"" N","86° 22' 26.65"" W",Reef
DEP Flap Reefex,30.14045 N,86.35955 W,"30° 8' 25.62"" N","86° 21' 34.38"" W",Reef
DEP Lap Valp,30.16433 N,86.41317 W,"30° 9' 51.59"" N","86° 24' 47.41"" W",Structure
DEP Lap Valp,30.14767 N,86.41317 W,"30° 8' 51.61"" N","86° 24' 47.41"" W",Structure
DEP Lap Valp,30.16308 N,86.41245 W,"30° 9' 47.09"" N","86° 24' 44.82"" W",Structure
DEP,29.64038 N,83.90315 W,"29° 38' 25.37"" N","83° 54' 11.34"" W",Structure
DEP,29.64183 N,83.90405 W,"29° 38' 30.59"" N","83° 54' 14.58"" W",Structure
DEP,29.63947 N,83.90205 W,"29° 38' 22.09"" N","83° 54' 7.38"" W",Structure
DEP,29.64038 N,83.902 W,"29° 38' 25.37"" N","83° 54' 7.2"" W",Structure
DEP,29.63783 N,83.9158 W,"29° 38' 16.19"" N","83° 54' 56.88"" W",Structure
DEP,29.638 N,83.91428 W,"29° 38' 16.8"" N","83° 54' 51.41"" W",Structure
DEP,29.63915 N,83.91442 W,"29° 38' 20.94"" N","83° 54' 51.91"" W",Structure
Derelict,30.12083 N,85.71167 W,"30° 7' 14.99"" N","85° 42' 42.01"" W",Structure
Derelict Barge,30.03183 N,88.76673 W,"30° 1' 54.59"" N","88° 46' 0.23"" W",Reef
Derm Reef Units,25.77097 N,80.1078 W,"25° 46' 15.49"" N","80° 6' 28.08"" W",Reef
Derm Reef Units,25.77453 N,80.10717 W,"25° 46' 28.31"" N","80° 6' 25.81"" W",Reef
Desco Boat Culverts,29.88737 N,81.016 W,"29° 53' 14.53"" N","81° 0' 57.6"" W",Wreck
Desco Wreck Reef,29.88688 N,81.01142 W,"29° 53' 12.77"" N","81° 0' 41.11"" W",Reef
Desco Wreck Reef,29.9117 N,81.00267 W,"29° 54' 42.12"" N","81° 0' 9.61"" W",Reef
Desoto Canyon,29.092 N,87.48 W,"29° 5' 31.2"" N","87° 28' 48.0"" W",Canyon
Desparation Reef SS,28.47417 N,91.03717 W,"28° 28' 27.01"" N","91° 2' 13.81"" W",Reef
Destin Deepwater Concrete,30.14659 N,86.67806 W,"30° 8' 47.72"" N","86° 40' 41.02"" W",Structure
Destin Reef,30.15 N,86.5555 W,"30° 9' 0.0"" N","86° 33' 19.8"" W",Reef
Destin Reef 1 B,30.16817 N,86.28484 W,"30° 10' 5.41"" N","86° 17' 5.42"" W",Reef
Destin Reef 1 D,30.15154 N,86.27789 W,"30° 9' 5.54"" N","86° 16' 40.4"" W",Reef
Destin Reef 1 E,30.16609 N,86.28215 W,"30° 9' 57.92"" N","86° 16' 55.74"" W",Reef
Destin Reef 1 B,26.895 N,82.49167 W,"26° 53' 42.0"" N","82° 29' 30.01"" W",Reef
Destin Southern Ledge,29.8044 N,86.481 W,"29° 48' 15.84"" N","86° 28' 51.6"" W",Ledge
Determined,40.71678 N,71.28282 W,"40° 43' 0.41"" N","71° 16' 58.15"" W",Structure
Devils A Hole,33.67527 N,76.78087 W,"33° 40' 30.97"" N","76° 46' 51.13"" W",Hole
DH 3,26.37263 N,82.28895 W,"26° 22' 21.47"" N","82° 17' 20.22"" W",Structure
Diamond Barge,30.15595 N,86.72862 W,"30° 9' 21.42"" N","86° 43' 43.03"" W",Reef
Diamond Ledge,35.15326 N,75.15465 W,"35° 9' 11.74"" N","75° 9' 16.74"" W",Ledge
Diamond Rock Ledge,44.02592 N,68.76528 W,"44° 1' 33.31"" N","68° 45' 55.01"" W",Ledge
Diamond Tower,35.15085 N,75.29817 W,"35° 9' 3.06"" N","75° 17' 53.41"" W",Tower
Diamondhead Radnor Reef,26.9135 N,80.05883 W,"26° 54' 48.6"" N","80° 3' 31.79"" W",Reef
Dickey BOY Wreck,28.60017 N,80.31433 W,"28° 36' 0.61"" N","80° 18' 51.59"" W",Wreck
Dickey BOY Wreck,28.60112 N,80.31733 W,"28° 36' 4.03"" N","80° 19' 2.39"" W",Wreck
Dicks Hole,25.50402 N,82.23193 W,"25° 30' 14.47"" N","82° 13' 54.95"" W",Hole
Dicks Hump,25.1971 N,81.89908 W,"25° 11' 49.56"" N","81° 53' 56.69"" W",Hump
Dicks Ledge,41.10917 N,71.72691 W,"41° 6' 33.01"" N","71° 43' 36.88"" W",Ledge
